pen-scored,season,competition,club,date,home-team,final-result,away-team,minute,score-before-pk,goal-keeper,goal-keeper-link
1,22/23,Saudi Pro League,Al-Nassr FC,"Apr 4, 2023",Al-Adalah FC,0:5,Al-Nassr FC,40',0:1,Milan Mijatovic,https://www.transfermarkt.us/milan-mijatovic/elfmeterstatistik/spieler/61297
1,22/23,European Qualifiers,Portugal,"Mar 23, 2023",Portugal,4:0,Liechtenstein,51',3:0,Benjamin Büchel,https://www.transfermarkt.us/benjamin-buchel/elfmeterstatistik/spieler/66708
1,22/23,Saudi Pro League,Al-Nassr FC,"Feb 25, 2023",Damac FC,0:3,Al-Nassr FC,18',0:1,Moustapha Zeghba,https://www.transfermarkt.us/moustapha-zeghba/elfmeterstatistik/spieler/233069
1,22/23,Saudi Pro League,Al-Nassr FC,"Feb 9, 2023",Al-Wehda FC,0:4,Al-Nassr FC,53',0:3,Abdulqaddous Attieh,https://www.transfermarkt.us/abdulqaddous-attieh/elfmeterstatistik/spieler/564006
1,22/23,Saudi Pro League,Al-Nassr FC,"Feb 3, 2023",Al-Fateh,2:2,Al-Nassr FC,90',2:2,Jacob Rinne,https://www.transfermarkt.us/jacob-rinne/elfmeterstatistik/spieler/210528
1,21/22,2022 World Cup,Portugal,"Nov 24, 2022",Portugal,3:2,Ghana,65',1:0,Lawrence Ati Zigi,https://www.transfermarkt.us/lawrence-ati-zigi/elfmeterstatistik/spieler/254285
1,22/23,Europa League,Manchester United,"Sep 15, 2022",FC Sheriff Tiraspol,0:2,Manchester United,39',0:2,Maksym Koval,https://www.transfermarkt.us/maksym-koval/elfmeterstatistik/spieler/120211
1,21/22,Premier League,Manchester United,"May 2, 2022",Manchester United,3:0,Brentford FC,61',2:0,David Raya,https://www.transfermarkt.us/david-raya/elfmeterstatistik/spieler/262749
1,21/22,Premier League,Manchester United,"Dec 11, 2021",Norwich City,0:1,Manchester United,75',0:1,Tim Krul,https://www.transfermarkt.us/tim-krul/elfmeterstatistik/spieler/33027
1,21/22,Premier League,Manchester United,"Dec 2, 2021",Manchester United,3:2,Arsenal FC,70',3:2,Aaron Ramsdale,https://www.transfermarkt.us/aaron-ramsdale/elfmeterstatistik/spieler/427568
1,20/21,World Cup qualification Europe,Portugal,"Oct 12, 2021",Portugal,5:0,Luxembourg,13',2:0,Anthony Moris,https://www.transfermarkt.us/anthony-moris/elfmeterstatistik/spieler/78570
1,20/21,World Cup qualification Europe,Portugal,"Oct 12, 2021",Portugal,5:0,Luxembourg,8',1:0,Anthony Moris,https://www.transfermarkt.us/anthony-moris/elfmeterstatistik/spieler/78570
